StimType	onset
4.0	33.9622734229
3.0	54.2619492347
4.0	74.4938733251
6.0	94.7771042806
2.0	115.046713293
3.0	135.343549288
1.0	155.626754888
3.0	175.893306147
5.0	196.184859141
1.0	216.477084358
4.0	236.759655165
1.0	257.026174428
3.0	277.276669917
2.0	297.559278455
6.0	317.850344865
5.0	338.125702031
5.0	358.394374096
2.0	378.658776174
6.0	398.925315057
4.0	419.210423527
2.0	439.491762781
6.0	459.791651398
5.0	480.059868272
1.0	500.365270504
