Stim	StimType	onset
+	6	67.9182885638
#####	4	70.4493632448
#####	4	72.9787792532
grey	5	75.5034749116
glide	1	78.0396418233
#####	4	80.5767188165
#####	4	83.10970814
darn	2	85.6450974829
laze	5	88.1822592963
slash	2	90.7158936759
#####	4	93.2520086692
+	6	95.7887768685
lime	5	98.322113321
slouch	5	100.857509305
brag	3	103.393579624
stray	1	105.928316968
#####	4	108.464367365
jog	1	111.000728367
dart	1	113.534538424
skate	1	116.069939841
smirk	3	118.598292729
#####	4	121.124045773
hike	1	123.660021613
#####	4	126.196521164
march	1	128.734296038
#####	4	131.265651138
fold	2	133.801073383
chomp	3	136.336452161
chop	2	138.872386949
#####	4	141.40898581
drowse	5	143.946660771
blink	3	146.478135404
#####	4	149.013480979
+	6	151.548868511
peel	2	154.08516884
limp	1	156.621406084
stomp	1	159.155088458
drum	2	161.691172964
#####	4	164.225895215
flit	1	166.761296029
heal	2	169.297113698
grope	2	171.83382364
skim	2	174.367482168
roam	1	176.90291045
soothe	5	179.438297378
+	6	181.973714793
flow	5	184.509455491
fade	5	187.046233953
#####	4	189.580684538
tan	5	192.115319555
click	2	194.650730329
#####	4	197.186779217
lick	3	199.721781586
#####	4	202.25866298
bribe	3	204.79674876
crane	5	207.327725943
#####	4	209.863125851
tramp	1	212.398542964
stride	1	214.934109494
lift	2	217.471070274
disc	5	220.008459985
#####	4	222.540162215
wood	5	225.075546124
mauve	5	227.610952673
bronze	5	230.146403895
kick	1	232.684566647
stroke	2	235.220825925
#####	4	237.75257132
+	6	240.288611756
growl	3	242.823364193
#####	4	245.358762893
#####	4	247.89612091
pen	5	250.433195488
+	6	252.964975595
flax	5	255.500382747
crook	5	258.03578507
bright	5	260.571175318
#####	4	263.108303626
#####	4	265.645539393
groan	3	268.177391039
slurp	3	270.71279638
stab	2	273.248233717
frisk	2	275.78546224
+	6	278.320711222
+	6	280.857903522
square	5	283.390469349
boo	3	285.925229331
hum	3	288.460610222
plum	5	290.996657903
edge	5	293.533141758
+	6	296.070264935
wedge	5	298.602224946
+	6	301.137631494
fence	5	303.673022346
scratch	2	306.208437346
turf	5	308.745546034
#####	4	311.283776099
#####	4	313.820796042
#####	4	316.350043919
#####	4	318.887329794
#####	4	321.420848262
#####	4	323.957963893
dim	5	326.49231698
tempt	5	329.027054022
conk	5	331.562457552
#####	4	334.098527268
arc	5	336.633265517
#####	4	339.170373903
spit	3	341.707341626
#####	4	344.239471277
strain	5	346.774866054
grasp	2	349.310286185
sneer	3	351.845671302
hide	5	354.382791158
#####	4	356.919710585
sneak	1	359.45187676
#####	4	361.98913577
kneel	1	364.522685027
#####	4	367.058115422
grind	5	369.595420615
+	6	372.132065357
croak	3	374.664298845
ash	5	377.20037007
scrape	2	379.735102886
peak	5	382.270502794
#####	4	384.807630196
faze	5	387.344418016
slip	1	389.8767161
gold	5	392.412124761
#####	4	394.947517424
chalk	5	397.482924576
bolt	5	400.020036584
#####	4	402.556781843
coal	5	405.090205832
#####	4	407.624535375
#####	4	410.159923813
shout	3	412.695992321
#####	4	415.232440558
#####	4	417.769140237
ship	5	420.301566608
gape	3	422.836950819
+	6	425.372342879
pinch	2	427.907752748
dwell	5	430.444786576
spot	5	432.981501951
#####	4	435.513973902
storm	5	438.04936083
#####	4	440.584815071
rust	5	443.117527899
cane	5	445.640380453
dot	5	448.177171593
coach	5	450.709699084
+	6	453.236823438
skip	1	455.763816788
web	5	458.299884995
trot	1	460.835867777
skulk	1	463.372820408
#####	4	465.905444189
#####	4	468.440831419
net	5	470.976246721
tear	2	473.511633347
poke	2	476.048144671
#####	4	478.58523555
+	6	481.117847257
blight	5	483.64484272
owe	5	486.172009635
+	6	488.70737815
blush	5	491.243528158
#####	4	493.780846934
#####	4	496.313583005
roof	5	498.848986534
+	6	501.384378896
ball	5	503.919787859
ink	5	506.455913417
shoo	2	508.993865779
stamp	1	511.531382569
scream	3	514.061396545
creep	1	516.59680581
lisp	3	519.132225036
#####	4	521.668365687
grid	5	524.205584248
+	6	526.738406346
bode	5	529.26522583
beige	5	531.79254518
#####	4	534.328583804
#####	4	536.864207988
+	6	539.401895324
carve	2	541.934152356
stroll	1	544.469547736
#####	4	547.004958511
trudge	1	549.540369889
crop	5	552.076734211
#####	4	554.61359689
#####	4	557.146566593
mount	1	559.681972236
pod	5	562.217374256
salt	5	564.752767221
#####	4	567.289306316
+	6	569.825958604
#####	4	572.358997431
